Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Pressure_Score,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2017,12,Female,15,Right-Handed,162,90,150,2,Car,10,0.753,65,Swimming,550,500,700,810,520,1000,90,Same length,300,300,Same length,September,Winter,Yes,No,Seafood,Water,Art,7,8,4,Yes - broadband connection,Text messaging,15,12,7,2,8,15,0,16,20,14,45,30,0,50,A lot,4,Graduate degree,Pop,Invisibility,Healthy,Relative,Health
USA,CA,2019,12,Female,17,Right-Handed,167,23,140,3,Walk,10,0.25,30,Other,750,750,800,900,750,900,23,Same length,70,80,Ring finger,July,Winter,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7,10,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",5,7,3,1,9,1,3,1,2,0,5,0,0,0,A lot,4,Graduate degree,Pop,Freeze time,Healthy,Friend,Other
USA,CA,2014,10,Female,15,Right-Handed,,23,45,1,Car,15,0.802,45,Hockey (Field),200,100,800,10001,200,900,25,Left foot,10,9,Index finger,November,Fall,Yes,No,Fruit,Juice,History,8,5,3,Yes - other,Text messaging,10,12,6,5,6,7,0,5,2,7,7,6,0,7,A lot,4,Graduate degree,Punk rock,Telepathy,Happy,Relative,Health
USA,CA,2020,12,Female,16,Right-Handed,163,22,99,1,Walk,40,0.466,41,Tennis,1000,1000,800,500,250,250,22,Same length,101.6,165.1,Ring finger,October,Fall,Yes,No,Fruit,Water,Science,7.5,8,5,Yes - broadband connection,Internet chat or instant messaging,100,100,7,10,6,5,0,0,82,24,20,10,0,15,Some,3,Graduate degree,Other,Telepathy,Healthy,Relative,Environment
USA,CA,2015,12,Male,17,Right-Handed,172,25,174,2,Car,15,0.274,49,Table Tennis,600,400,500,350,900,900,26,Left foot,83,79,Index finger,May,Winter,Yes,No,Poultry,Water,Art,8.5,9.5,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",20,25,12,0.15,8,0,1.5,3,2,1,18,6,0,0.5,Some,3,Graduate degree,Techno/Electronic,Freeze time,Happy,Relative,"Wildlife, animals"
USA,CA,2018,9,Female,15,Right-Handed,156,23,65,1,Car,7,0.314,38,Basketball,1000,604,818,802,337,492,23,Same length,75,75,Same length,March,Winter,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,5,9,3,Yes - other,Text messaging,1800,2500,38,0,25,6,5,0,60,70,130,1,0,0,A lot,4,Graduate degree,Pop,Telepathy,Rich,Relative,International aid
USA,CA,2012,12,Female,16,Right-Handed,178,25,158,2,Car,10,0.407,39,Basketball,337,487,160,684,1000,1000,25,Same length,80,78,Index finger,September,Winter,No,Yes,Desserts,Water,English,6,9,2,Yes - broadband connection,Text messaging,50,70,4,1,4,2,0,5,6,8,8,3,0,1,A lot,4,Graduate degree,Other,Freeze time,Rich,Community leader or elder,Health
USA,CA,2011,12,Male,17,Right-Handed,187.9,33,195.7,1,Car,6,0.47,58,Cycling,800,700,400,,500,700,33,Same length,17,18,Ring finger,April,Winter,No,No,Poultry,Water,Physical education,8,9,4,Yes - broadband connection,In person,6,11,6,1,8,5,10,8,20,2,20,15,7,4,,,,,,,,
USA,CA,2013,12,Female,17,Right-Handed,181,27,180,1,Car,8,0.493,45,Other,500,1000,300,300,500,600,26,Right foot,80,70,Index finger,October,Winter,No,No,Fruit,Water,History,6,8,4,Yes - other,In person,45,45,3,1,20,4,10,0,4,2,3,2,0,1,A lot,4,Graduate degree,Pop,Fly,Happy,Relative,Health
USA,CA,2012,12,Male,16,Right-Handed,72,27,196,3,Car,18,0.378,56,Basketball,1000,900,200,300,500,500,27,Left foot,70,74,Ring finger,November,Winter,No,No,Seafood,Water,History,6,8,4,Yes - broadband connection,Text messaging,110,110,5,5,15,20,8,1,4,20,10,6,0,3,A lot,4,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Education/Youth development
USA,CA,2017,11,Male,16,Right-Handed,166,33,149,2,Bus,10,0.4,40,Soccer,1000,1000,1000,1000,500,500,33,Same length,9.5,9.5,Same length,August,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,9.5,4,Yes - other,Internet chat or instant messaging,0,3,7,0,15,0,15,0,0,50,7,10,0,0,None,1,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Education/Youth development
USA,CA,2018,9,Male,14,Right-Handed,165,24,150,3,Skateboard/Scooter/Rollerblade,15,0.269,39,Skateboarding/Rollerblading,850,300,500,750,900,1000,23,Right foot,80,75,Index finger,December,Summer,No,No,Other,Water,Other,8,12,4,Yes - dial-up connection,Text messaging,100,100,10,2,5,20,5,28,20,5,49,0,0,2,A lot,4,Graduate degree,Rap/Hip hop,Telepathy,Happy,Other,Other
USA,CA,2016,12,Female,17,Right-Handed,165,22,162,2,Car,17,0.386,38,Walking/Hiking,722,604,663,652,1000,1000,24,Left foot,80,78,Index finger,August,Summer,No,No,Meat,Juice,Science,7,12,4,Yes - broadband connection,Internet chat or instant messaging,1,1,16,0,13,11,0,15,0,1,58,0,0,7,Some,3,Graduate degree,Techno/Electronic,Telepathy,Happy,Other,Health
USA,CA,2016,12,Male,17,Ambidextrous,172,27,152,2,Walk,10,0.342,40,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,A lot,4,Less than high school,Country,Freeze time,Happy,Sports person,"Wildlife, animals"
USA,CA,2013,12,Female,17,Right-Handed,154.9,15.24,130,2,Car,15,0.396,54,Dancing,1000,1000,800,900,900,950,23,Same length,110,110,Same length,July,Summer,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,7,7,4,Yes - broadband connection,Text messaging,30,32,5,1,4,20,8,2,5,45,2,5,8,8,A lot,4,Graduate degree,Pop,Super strength,Happy,Religious figure,International aid
USA,CA,2013,12,Female,17,Right-Handed,155,24,159,1,Car,35,0.405,51,Dancing,0,0,0,0,1000,1000,22.5,Right foot,69,68,Index finger,July,Fall,No,No,No favorite,Water,History,7,10,4,Yes - broadband connection,Text messaging,32,54,10,2,25,5,1,0,3,5,47,20,0,2,A lot,4,Graduate degree,Other,Freeze time,Happy,Politician,International aid
USA,CA,2014,10,Female,16,Right-Handed,,,,2,Car,11,1.109,47,Other,100,100,150,200,5,1000,,Left foot,,,Index finger,September,Winter,No,No,Breads/Sandwiches,Tea,Languages,9,7,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",,,,,,,,,,,,,,,,,,,,,,
USA,CA,2012,12,Male,15,Right-Handed,170,26,178,2,Car,20,0.47,76,,500,500,100,100,900,900,24,Right foot,75,77,Ring finger,November,Summer,No,No,Rice/Noodle dishes,Water,Science,8,10,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2,2,10,0,10,0,10,0,3,5,10,5,0,0,A lot,4,Graduate degree,Rap/Hip hop,Fly,Happy,Friend,Health
USA,CA,2014,12,Male,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,12,Male,17,Ambidextrous,187,28,193,1,Car,7,0.448,32,Swimming,1,1,1,1,100,100,,Same length,,,,May,Summer,No,No,Meat,Water,History,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2021,12,Female,17,Right-Handed,169,25,167,1,Car,7,0.718,42,Soccer,90,70,80,70,20,40,26,Left foot,16,16,Same length,May,Winter,No,No,Pizza/Pasta,Water,History,6,8,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",50,41,5,20,6,8,9,0,22,10,26,10,28,6,Some,3,Graduate degree,Country,Freeze time,Happy,Relative,Other
USA,CA,2018,12,Male,17,Right-Handed,176,26,170,2,Walk,30,0.36,42,Football (American),754,754,914,465,1000,1000,35,Right foot,70,70,Same length,December,Winter,No,No,Meat,Water,Physical education,8,6,4,Yes - broadband connection,Internet chat or instant messaging,0,0,35,1,5,20,10,35,20,0,40,5,0,3,Very little,2,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,"Wildlife, animals"
USA,CA,2016,12,Male,16,Right-Handed,167,,,2,Car,5,,,Soccer,1000,1000,1000,1000,1000,1000,,Same length,,,,June,Summer,No,No,Pizza/Pasta,Soft drink (non-caffeinated),Mathematics and statistics,8,10,6,Yes - broadband connection,Text messaging,60,80,15,3,4,7,,,,,,,,,,,,,,,,
USA,CA,2014,12,Male,16,Right-Handed,183,27,181,2,Car,6,0.336,36,None,1000,1000,1000,1000,1000,1000,27,Same length,100,115,Ring finger,August,Winter,Yes,No,Pizza/Pasta,Tea,Science,9,8,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",0,0,30,1,28,7,0,42,9,9,48,5,0,4,Some,3,Graduate degree,Techno/Electronic,Fly,Healthy,Musician or singer,International aid
USA,CA,2018,12,Female,17,Right-Handed,149,22.5,1828,2,Bus,40,0.831,71,None,500,500,500,500,400,900,22.5,Same length,500,500,Same length,December,Winter,No,No,No favorite,Soft drink (caffeinated),History,5,7,9,Yes - other,In person,4,3,0,0,0,0,0,0,0,0,4,6,0,0,Very little,2,Graduate degree,Other,Freeze time,Happy,Other,Other
USA,CA,2018,12,Male,17,Right-Handed,175.2,26.6,167.6,1,Car,15,0.331,37,Football (American),818,626,658,631,636,733,26.7,Same length,27.5,29,Ring finger,March,Winter,No,No,Meat,Juice,History,6,9,3,Yes - broadband connection,Text messaging,20,30,50,2,20,10,15,10,25,30,25,5,15,10,Some,3,Undergraduate degree,Rap/Hip hop,Fly,Rich,Other,Environment
USA,CA,2018,9,Female,14,Right-Handed,158,23,160,2,Car,8,0.369,35,Hockey (Field),1000,1000,1000,1000,700,900,23,Same length,65,70,Ring finger,March,Fall,Yes,No,Poultry,Water,English,6,9,5,Yes - broadband connection,In person,120,150,5,0,20,10,15,0,25,5,40,12,0,7,A lot,4,Graduate degree,Rhythm and blues (R&B),Freeze time,Rich,Actor,International aid
USA,CA,2013,12,Male,17,Right-Handed,178,29,190,1,Car,15,0.354,56,Swimming,90,100,200,300,500,600,28,Right foot,73,73,Same length,April,Summer,No,No,Meat,Water,Science,8,9,3,Yes - broadband connection,In person,50,60,5,1,3,2,10,0,1,3,3,1,0,2,Some,3,Undergraduate degree,Other,Freeze time,Happy,Religious figure,Religious
USA,CA,2017,12,Male,17,Right-Handed,175,35,175,2,Bus,40,0.305,43,Skateboarding/Rollerblading,1000,1000,1000,1000,1000,1000,173,Right foot,90,80,Index finger,June,Winter,Yes,No,Seafood,Water,Art,6,7,6,Yes - other,,80,80,666,42,46,35,28,0,49,49,666,2,16,14,A lot,4,Graduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Environment
USA,CA,2014,12,Male,17,Right-Handed,177.8,,,2,Car,10,0.367,39,Martial Arts,800,600,460,150,100,300,,Same length,,,Index finger,March,Winter,No,No,Meat,Water,History,7.5,9,6,Yes - other,Text messaging,20,30,25,1,3,0,2,1,4,4,3,2,0,0,Some,3,Undergraduate degree,Rock and roll,Telepathy,Happy,Actor,Health
USA,CA,2021,12,Female,16,Right-Handed,163,24,160,3,Car,15,0.382,43,Dancing,600,400,400,700,800,1000,23,Right foot,7.5,8,Index finger,September,Fall,No,No,Rice/Noodle dishes,Water,Science,6,10,5,Yes - broadband connection,Internet chat or instant messaging,68,100,7,1,15,5,0,12,10,2,12,3,0,2,Some,3,Graduate degree,Pop,Telepathy,Rich,Relative,Health
USA,CA,2016,11,Male,17,Right-Handed,71,28,73.5,2,Walk,10,0.355,40,Tennis,1000,1000,1000,1000,711,733,27,Right foot,3.5,3.8,Ring finger,July,Summer,Yes,No,Meat,Soft drink (caffeinated),Mathematics and statistics,8,6,4,Yes - broadband connection,Text messaging,8,8,4,0,2,5,1,1,5,0,0,1,0,2,None,1,Graduate degree,Rap/Hip hop,Invisibility,Healthy,Sports person,Health
USA,CA,2019,12,Female,17,Right-Handed,155,23,154,2,Car,10,0.422,57,Dancing,700,800,300,200,300,300,22,Right foot,60,64,Ring finger,April,Spring,Yes,No,Pizza/Pasta,Water,Science,5,8,4,Yes - other,Text messaging,300,500,3,0,10,4,7,0,6,8,5,3,0,1,A lot,4,Graduate degree,Pop,Freeze time,Happy,Friend,Environment
USA,CA,2011,12,Male,17,Right-Handed,187.9,33,195.7,1,Car,6,0.47,58,Cycling,800,700,400,,500,700,33,Same length,17,18,Ring finger,April,Winter,No,No,Poultry,Water,Physical education,8,9,4,Yes - broadband connection,In person,6,11,6,1,8,5,10,8,20,2,20,15,7,4,,,,,,,,
USA,CA,2017,11,Female,17,Right-Handed,158,23,,2,Car,30,0.407,29,Skateboarding/Rollerblading,600,800,1000,1000,600,900,23,Right foot,72,68,Ring finger,February,Fall,No,No,Rice/Noodle dishes,Water,Social studies,6,9,4,Yes - dial-up connection,In person,100,150,6,0,15,3,4,0,8,5,15,0,6,1,A lot,4,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Relative,International aid
USA,CA,2012,12,Female,18,Right-Handed,165.1,22,162,2,Car,4,0.437,34,Other,800,800,800,800,1000,1000,23,Left foot,90,80,Index finger,April,Spring,No,No,Seafood,Coffee,Science,6,10,4,Yes - broadband connection,Text messaging,80,80,10,6,15,6,4,0,8,20,10,2,0,5,A lot,4,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Relative,Health
USA,CA,2014,10,Male,15,Right-Handed,1.154,27,180.4,1,Car,15,0.932,48,Basketball,500,700,400,300,900,1000,27,Same length,8,9,Ring finger,February,Summer,Yes,No,Seafood,Sports drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,12,Female,17,Right-Handed,62.3,9.37,60.54,1,Car,15,0.289,43,Skateboarding/Rollerblading,968,754,754,754,600,750,9.4,Left foot,31.8,31.95,Ring finger,February,Summer,No,No,Desserts,Tea,Physical education,5.5,8.5,5,Yes - broadband connection,Text messaging,100,90,6,4,12,0,15,0,8,3,120,0,15,4,Some,3,Graduate degree,Pop,Fly,Happy,Relative,Environment
USA,CA,2016,12,Female,17,Right-Handed,154,21,,156,Car,7,0.395,50,Swimming,1000,856,936,743,631,824,,,7,7,Same length,August,Winter,Yes,Yes,Pizza/Pasta,Water,Languages,7,10,4,Yes - broadband connection,In person,5,6,0,0,40,20,0,0,37,36,2,30,0,2,A lot,4,Graduate degree,Other,,Happy,Relative,International aid
USA,CA,2019,11,Female,17,Right-Handed,150,21,139,1,Car,5,0.377,51,Baseball/Softball,1000,1000,1000,1000,999,1000,21,Same length,65,73,Ring finger,January,Winter,No,No,Pizza/Pasta,Water,Science,7,6,5,Yes - other,Text messaging,100,500,8,2,3,4,6,10,15,6,7,10,0,0,A lot,4,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Relative,Environment
USA,CA,2021,12,Female,15,Right-Handed,166,125,164,3,Car,10,0.38,31,Skateboarding/Rollerblading,950,650,700,750,550,600,124.5,Right foot,90,100,Ring finger,November,Spring,Yes,No,Pizza/Pasta,Water,Social studies,5,9,2,Yes - broadband connection,Text messaging,50,50,14,7,20,7,20,2,7,10,20,2,3,7,A lot,4,Undergraduate degree,Pop,Fly,Happy,Actor,Environment
USA,CA,2015,11,Female,17,Right-Handed,175.2,25.1,163,1,Car,30,0.375,66,Dancing,1000,775,888,465,0,289,25.1,Same length,9,8,Index finger,July,Spring,No,No,Seafood,Soft drink (non-caffeinated),Languages,7,10,5,Yes - broadband connection,Internet chat or instant messaging,277,257,8,28,14,,,,,,,,,,,,,,,,,
USA,CA,2021,12,Female,16,Right-Handed,160,23,160,2,Walk,10,0.467,47,Skateboarding/Rollerblading,1000,1000,797,599,444,443,23,Same length,90,85,Index finger,October,Winter,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,10,4,Yes - broadband connection,Text messaging,7,7,35,,,,,,,,,,,,,,,,,,,
USA,CA,2019,12,Male,17,Right-Handed,181,27,179,1,Car,6,0.389,41,Running/Jogging,1,2,4,3,6,5,27,Same length,76,83,Ring finger,October,Winter,Yes,Yes,Fruit,Water,History,7,6,9,Yes - other,Text messaging,40,40,12,5,7,4,8,0,6,2,5,4,12,4,A lot,4,Graduate degree,Other,Fly,Happy,Religious figure,Environment
USA,CA,2015,12,Male,17,Right-Handed,160,26,173,2,Car,5,0.349,29,Martial Arts,1000,444,642,695,80,225,26,Same length,73,73,Same length,November,Fall,No,No,Fruit,Water,Music,7,8,5,Yes - broadband connection,Text messaging,0,0,0,0,21,12,15,0,0,0,6,5,0,0,A lot,4,Graduate degree,Pop,Fly,Happy,Relative,International aid
USA,CA,2015,12,Female,17,Right-Handed,155,9,56,1,Car,5,0.456,48,Other,100,1000,1000,1000,0,100,8.5,Right foot,25,20,Ring finger,January,Winter,Yes,No,Rice/Noodle dishes,Tea,Art,6,10,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",1000,2000,42,0,15,10,15,0,160,160,50,0,0,160,A lot,4,Other,Pop,Invisibility,Happy,Relative,International aid
USA,CA,2018,12,Male,16,Right-Handed,163,25,165,1,Car,5,0.287,35,Swimming,600,600,600,800,800,1000,25,Same length,84,78,Index finger,October,Summer,No,No,Other,Water,Computers and technology,6,8,3,Yes - broadband connection,Internet chat or instant messaging,20,60,1,0,20,10,0,20,0,14,84,0,0,1,A lot,4,Graduate degree,Techno/Electronic,Freeze time,Famous,Relative,Health
USA,CA,2019,9,Female,14,Right-Handed,,163,161,2,Car,10,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,12,Male,18,Right-Handed,160,25,155,2,Walk,10,0.594,69,Basketball,200,500,600,700,900,800,24,Right foot,75,77,Index finger,March,Summer,No,No,Rice/Noodle dishes,Juice,Music,9,7,12,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",3,2,0,2,1,0,3,10,5,1,5,4,8,1,A lot,4,Some college,Pop,Super strength,Healthy,Business person,Education/Youth development
USA,CA,2021,12,Female,17,Right-Handed,148,21,150,1,Car,10,0.531,45,Gymnastics,866,695,770,668,476,524,21,Same length,9,10,Ring finger,July,Summer,No,No,Pizza/Pasta,Water,Art,6,8,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,100,7,2,30,,,,,,,,,,,,,,,,,
USA,CA,2021,12,Male,34,Right-Handed,193,30,194,1,Car,10,0.328,34,Football (American),818,209,363,342,460,775,29,Right foot,81,85,Ring finger,May,Summer,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,8,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",3,4,3,0.5,0,42,6,0,5,0.5,25,6,40,6,Very little,2,Graduate degree,Heavy metal,Freeze time,Happy,Relative,Education/Youth development
USA,CA,2021,12,Female,17,Right-Handed,162,24,63.5,2,Car,15,0.541,37,Other,1000,471,706,251,759,108,25,Left foot,7.5,7,Index finger,April,Winter,No,No,Other,Water,Music,8,8,3,Yes - other,Text messaging,100,100,15,20,14,13,7,10,5,65,126,0,15,7,Some,3,Undergraduate degree,Classical,Freeze time,Rich,Relative,Religious
USA,CA,2016,12,Male,17,Left-Handed,171,25,178,,Car,25,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,11,Male,16,Left-Handed,187.9,30,187,1,Walk,15,0.321,33,Basketball,818,599,1000,829,86,48,30,Same length,8,8.3,Ring finger,May,Spring,No,No,Pizza/Pasta,Water,Art,9,10,3,Yes - broadband connection,Text messaging,40,40,9,1,15,1,4,2,2,4,20,0,0,2,Some,3,Graduate degree,Other,Freeze time,Happy,Business person,Health
USA,CA,2016,12,Male,16,Right-Handed,157,21,152,1,Car,20,0.333,39,Basketball,900,800,1000,900,500,800,23,Left foot,65,70,Index finger,August,Summer,No,No,,Juice,Physical education,7,8,5,Yes - broadband connection,Text messaging,100,80,8,0.5,10,7,6,15,7,7,15,3,0,6,Some,3,Some college,Gospel,Fly,Famous,Religious figure,Religious
